Temperature (°C),pH,Dissolved O2 (mg/L),BOD (mg/L),Conductivity (µS/cm),Salinity (ppt),Nitrate-N Concentration (mg/L),Bioremediating Organism
28.18,7.36,8.37,3.47,301.96,0.48,1.28,Alcaligenes eutrophus
23.99,7.24,8.63,3.84,333.2,3.79,12.05,Pseudomonas putida
22.81,7.31,11.21,7.5,787.81,0.29,32.36,Acinetobacter baumannii
24.67,7.78,8.59,9.99,175.66,2.98,18.87,Bacillus cereus
24.51,6.02,11.34,2.73,114.26,3.98,14.52,Pseudomonas putida
22.78,8.47,8.63,3.12,106.49,0.94,5.61,Alcaligenes eutrophus
23.94,7.26,9.54,4.86,399.95,4.17,6.13,Ideonella sakaiensis
24.56,8.56,6.38,2.1,203.34,0.01,7.74,Alcaligenes eutrophus
23.35,6.6,6.96,6.1,188.44,2.16,15.54,Bacillus cereus
21.9,7.57,10.02,3.61,264.27,2.1,6.77,Bacillus cereus
29.29,7.25,7.34,14.08,787.74,0.59,20.48,Pseudomonas aeruginosa
25.47,7.2,9.49,3.0,184.63,0.83,7.09,Alcaligenes eutrophus
20.6,6.5,11.62,4.71,480.91,0.53,27.24,Acinetobacter baumannii
21.42,6.68,12.52,3.16,445.46,2.49,28.38,Acinetobacter baumannii
21.11,6.68,6.72,8.44,154.03,2.17,12.29,Bacillus cereus
29.33,7.77,6.46,13.2,652.41,0.04,13.49,Alcaligenes eutrophus
26.98,8.76,7.9,4.47,333.87,1.21,28.08,Pseudomonas aeruginosa
28.26,8.26,6.35,5.52,333.81,1.75,11.69,Pseudomonas aeruginosa
23.35,7.73,7.7,5.63,308.85,2.88,11.18,Bacillus cereus
29.29,6.66,9.9,2.27,365.4,4.89,7.01,Ideonella sakaiensis
24.11,7.32,9.47,4.64,325.28,2.03,21.8,Bacillus cereus
21.63,6.93,11.21,7.75,411.68,4.33,15.32,Ideonella sakaiensis
22.5,6.95,9.04,5.33,455.59,2.45,37.19,Acinetobacter baumannii
28.7,7.09,11.8,7.36,390.18,0.11,2.0,Alcaligenes eutrophus
25.36,7.2,6.49,12.53,278.62,0.22,11.54,Alcaligenes eutrophus
20.47,7.05,5.89,14.45,631.16,0.66,10.13,Alcaligenes eutrophus
21.74,6.68,10.56,6.19,278.14,2.17,19.73,Bacillus cereus
20.21,7.39,7.0,3.27,277.9,2.4,22.26,Bacillus cereus
25.48,7.01,9.34,3.3,418.95,0.13,30.79,Acinetobacter baumannii
28.32,7.3,8.74,8.87,526.17,4.46,19.14,Ideonella sakaiensis
20.01,8.16,9.02,13.07,453.61,0.59,12.96,Alcaligenes eutrophus
20.52,7.42,7.58,6.89,274.28,2.87,12.22,Bacillus cereus
23.05,8.44,5.9,1.37,673.91,0.43,3.84,Alcaligenes eutrophus
26.59,7.07,8.88,14.3,709.67,1.49,26.97,Pseudomonas aeruginosa
21.27,6.66,8.38,4.84,334.04,2.04,14.0,Bacillus cereus
29.61,7.57,10.85,12.42,266.14,0.22,12.35,Alcaligenes eutrophus
29.47,6.53,12.73,9.28,365.5,4.51,16.67,Ideonella sakaiensis
20.08,6.55,8.12,9.39,468.06,4.78,3.53,Ideonella sakaiensis
23.01,7.97,10.4,8.72,225.62,2.07,19.49,Bacillus cereus
24.67,7.41,10.73,3.16,271.67,3.68,13.62,Pseudomonas putida
24.8,7.46,13.1,2.22,414.16,1.16,38.08,Acinetobacter baumannii
23.88,6.61,12.35,9.81,465.36,4.18,6.83,Ideonella sakaiensis
22.08,6.65,7.16,3.1,435.59,2.26,23.12,Bacillus cereus
23.01,6.54,13.69,8.22,318.36,4.92,17.32,Ideonella sakaiensis
22.29,7.29,9.2,7.39,462.07,4.23,8.82,Ideonella sakaiensis
23.49,7.38,12.12,3.92,426.52,1.68,31.45,Acinetobacter baumannii
26.02,7.1,8.4,2.06,402.39,4.33,1.36,Ideonella sakaiensis
24.49,7.32,11.37,2.81,374.88,3.74,14.56,Pseudomonas putida
26.27,6.79,9.75,3.23,812.07,0.92,15.28,Acinetobacter baumannii
26.66,8.2,8.08,3.38,329.85,0.34,0.38,Alcaligenes eutrophus
25.13,6.77,11.47,2.36,423.24,2.07,24.96,Acinetobacter baumannii
23.97,8.15,9.53,9.06,101.74,0.51,9.11,Alcaligenes eutrophus
22.51,6.53,8.96,4.23,229.56,3.53,14.69,Pseudomonas putida
25.79,8.82,8.13,14.68,316.66,1.93,15.78,Pseudomonas aeruginosa
20.3,7.32,12.69,5.59,232.57,4.93,13.81,Ideonella sakaiensis
24.28,7.3,10.72,4.72,376.43,4.14,1.35,Ideonella sakaiensis
25.73,6.7,12.33,9.02,278.1,4.48,2.32,Ideonella sakaiensis
25.12,6.77,13.13,7.7,571.01,2.22,29.99,Acinetobacter baumannii
21.26,7.93,7.24,9.76,437.98,2.37,20.28,Bacillus cereus
23.76,6.96,13.38,7.64,747.66,1.55,29.12,Acinetobacter baumannii
25.07,7.39,5.25,7.52,654.28,0.54,6.98,Alcaligenes eutrophus
24.8,6.58,13.34,3.3,254.9,4.81,8.72,Ideonella sakaiensis
26.98,6.95,11.08,7.91,490.69,4.78,18.45,Ideonella sakaiensis
24.9,7.46,8.9,1.53,189.54,0.33,1.72,Alcaligenes eutrophus
25.18,7.22,12.24,4.82,213.1,4.03,18.61,Ideonella sakaiensis
25.61,8.71,8.38,7.07,499.99,1.49,23.2,Pseudomonas aeruginosa
28.41,7.98,7.34,10.24,639.51,1.14,29.81,Pseudomonas aeruginosa
20.27,7.07,9.73,8.01,225.71,4.08,1.44,Ideonella sakaiensis
20.42,7.65,10.32,3.74,387.95,2.8,16.49,Bacillus cereus
22.62,6.93,9.92,2.95,358.88,3.98,14.07,Pseudomonas putida
22.7,7.95,9.35,7.02,406.84,2.68,8.29,Bacillus cereus
20.12,7.03,8.27,7.24,973.71,0.42,28.97,Acinetobacter baumannii
21.28,6.41,7.12,4.87,366.59,3.55,14.68,Pseudomonas putida
21.23,7.12,7.98,4.34,151.71,2.05,13.54,Bacillus cereus
22.26,7.69,6.22,9.18,388.87,3.0,23.55,Bacillus cereus
22.25,6.7,6.46,9.52,426.12,2.58,19.55,Bacillus cereus
26.37,6.64,10.89,5.94,921.79,1.4,28.07,Acinetobacter baumannii
20.52,6.3,9.25,3.12,234.71,3.81,12.89,Pseudomonas putida
27.67,6.95,8.81,2.29,477.71,4.27,16.33,Ideonella sakaiensis
20.73,7.12,10.84,7.53,167.78,2.57,7.85,Bacillus cereus
20.9,6.8,9.34,8.95,256.82,4.32,18.13,Ideonella sakaiensis
24.72,6.99,9.68,7.63,544.14,4.8,11.27,Ideonella sakaiensis
26.22,6.54,8.21,9.05,261.27,4.5,0.58,Ideonella sakaiensis
20.61,6.63,6.77,8.81,374.97,2.45,8.47,Bacillus cereus
27.37,7.62,9.84,7.09,310.75,0.44,25.02,Pseudomonas aeruginosa
23.51,7.31,8.27,8.71,248.26,2.63,21.81,Bacillus cereus
20.28,6.82,8.94,7.93,941.55,1.97,36.82,Acinetobacter baumannii
28.91,8.46,10.23,6.86,248.37,0.65,4.07,Alcaligenes eutrophus
22.16,6.75,6.45,7.92,386.09,2.93,9.43,Bacillus cereus
29.2,8.19,8.26,7.4,543.3,1.33,24.67,Pseudomonas aeruginosa
26.74,8.75,8.81,9.52,325.33,0.56,19.23,Pseudomonas aeruginosa
20.77,6.51,7.15,2.1,365.92,3.89,14.67,Pseudomonas putida
22.73,7.73,10.82,7.62,243.14,2.9,25.0,Bacillus cereus
24.77,7.14,6.99,3.77,452.61,2.73,24.14,Bacillus cereus
24.23,7.14,8.57,6.24,182.45,2.19,22.64,Bacillus cereus
20.44,6.98,13.71,7.76,321.66,4.22,0.23,Ideonella sakaiensis
23.63,7.07,10.33,6.6,909.24,2.02,19.11,Acinetobacter baumannii
26.95,8.33,9.41,13.07,609.24,0.24,13.02,Alcaligenes eutrophus
